time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
1.20482e-05,2.515000e+01,-4.881229e+00,8.743465e-01,4.146148e+02,1.005831e+02,5.736193e+00,0.000303,0.1091
2.65769e-05,2.515000e+01,-4.887440e+00,8.743465e-01,9.053672e+00,1.557122e+01,8.091064e-01,0.000668,0.2406
4.39595e-05,2.515000e+01,-4.897523e+00,8.743465e-01,2.291136e+00,4.896987e+00,6.510670e-01,0.001105,0.3980
6.47429e-05,2.515000e+01,-4.904167e+00,8.743465e-01,9.917168e-01,2.134336e+00,6.465894e-01,0.001628,0.5861
8.87239e-05,2.515000e+01,-4.909099e+00,8.743465e-01,5.943808e-01,1.191544e+00,6.941581e-01,0.002231,0.8032
0.000115526,2.515000e+01,-4.913164e+00,8.743465e-01,4.530093e-01,9.219720e-01,6.837433e-01,0.002905,1.0458
0.000145009,2.515000e+01,-4.916693e+00,8.743465e-01,3.836462e-01,7.980259e-01,6.689871e-01,0.003646,1.3127
0.000176675,2.515000e+01,-4.919873e+00,8.743465e-01,3.435315e-01,7.265657e-01,6.579535e-01,0.004443,1.5994
0.000208341,2.515000e+01,-4.922703e+00,8.743465e-01,3.175666e-01,6.794066e-01,6.504422e-01,0.005239,1.8861
0.00023879,2.515000e+01,-4.925233e+00,8.743465e-01,3.021855e-01,6.498556e-01,6.470840e-01,0.006005,2.1617
0.000269238,2.515000e+01,-4.927607e+00,8.743465e-01,2.946762e-01,6.341456e-01,6.466359e-01,0.006770,2.4373
0.000299687,2.515000e+01,-4.929835e+00,8.743465e-01,2.916179e-01,6.282955e-01,6.458828e-01,0.007536,2.7130
0.000330135,2.515000e+01,-4.931895e+00,8.743465e-01,2.893246e-01,6.263269e-01,6.428178e-01,0.008302,2.9886
0.000360583,2.515000e+01,-4.933814e+00,8.743465e-01,2.889065e-01,6.273162e-01,6.408766e-01,0.009067,3.2643
0.000391032,2.515000e+01,-4.935613e+00,8.743465e-01,2.884403e-01,6.278364e-01,6.393124e-01,0.009833,3.5399
0.00042148,2.515000e+01,-4.937336e+00,8.743465e-01,2.895365e-01,6.296144e-01,6.399296e-01,0.010599,3.8155
0.000451929,2.515000e+01,-4.938959e+00,8.743465e-01,2.905637e-01,6.327187e-01,6.390493e-01,0.011364,4.0912
0.000482377,2.515000e+01,-4.940475e+00,8.743465e-01,2.918994e-01,6.375563e-01,6.371157e-01,0.012130,4.3668
0.000512825,2.515000e+01,-4.941972e+00,8.743465e-01,2.944624e-01,6.399267e-01,6.403291e-01,0.012896,4.6425
0.000543274,2.515000e+01,-4.943451e+00,8.743465e-01,2.968971e-01,6.421580e-01,6.433805e-01,0.013661,4.9181
0.000573722,2.515000e+01,-4.944866e+00,8.743465e-01,2.980175e-01,6.447090e-01,6.432529e-01,0.014427,5.1938
0.000604171,2.515000e+01,-4.946166e+00,8.743465e-01,2.975250e-01,6.474984e-01,6.394234e-01,0.015193,5.4694
0.000634619,2.515000e+01,-4.947406e+00,8.743465e-01,2.980551e-01,6.496355e-01,6.384554e-01,0.015958,5.7450
0.000665067,2.515000e+01,-4.948605e+00,8.743465e-01,2.989796e-01,6.514241e-01,6.386774e-01,0.016724,6.0207
0.000695516,2.515000e+01,-4.949764e+00,8.743465e-01,2.996492e-01,6.529610e-01,6.386008e-01,0.017490,6.2963
0.000725964,2.515000e+01,-4.950864e+00,8.743465e-01,2.999900e-01,6.548380e-01,6.374949e-01,0.018255,6.5720
0.000756413,2.515000e+01,-4.951944e+00,8.743465e-01,3.004864e-01,6.551113e-01,6.382834e-01,0.019021,6.8476
0.000786861,2.515000e+01,-4.953011e+00,8.743465e-01,3.011167e-01,6.556799e-01,6.390673e-01,0.019787,7.1232
0.00081731,2.515000e+01,-4.954019e+00,8.743465e-01,3.007169e-01,6.567155e-01,6.372122e-01,0.020552,7.3989
0.000847758,2.515000e+01,-4.954972e+00,8.743465e-01,3.003734e-01,6.577359e-01,6.354971e-01,0.021318,7.6745
0.000878206,2.515000e+01,-4.955912e+00,8.743465e-01,3.007186e-01,6.577006e-01,6.362615e-01,0.022084,7.9502
0.000908655,2.515000e+01,-4.956842e+00,8.743465e-01,3.010808e-01,6.577365e-01,6.369932e-01,0.022849,8.2258
0.000939103,2.515000e+01,-4.957754e+00,8.743465e-01,3.012926e-01,6.579829e-01,6.372024e-01,0.023615,8.5014
