time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
1,2.51500000e+01,-4.99275686e+00,8.743465e-01,4.929777e-01,1.209181e+00,5.673349e-01,,
2,2.51500000e+01,-4.99593523e+00,8.743465e-01,3.220680e-01,1.145909e+00,3.911121e-01,,
3,2.51500000e+01,-4.99830896e+00,8.743465e-01,2.372080e-01,8.965781e-01,3.681671e-01,,
4,2.51500000e+01,-5.00179525e+00,8.743465e-01,2.274881e-01,8.016156e-01,3.949083e-01,,
5,2.51500000e+01,-5.00715262e+00,8.743465e-01,2.352693e-01,7.605766e-01,4.304533e-01,,
6,2.51500000e+01,-5.01364088e+00,8.743465e-01,2.383754e-01,7.272372e-01,4.561304e-01,,
7,2.51500000e+01,-5.02103602e+00,8.743465e-01,2.390641e-01,6.996569e-01,4.754808e-01,,
8,2.51500000e+01,-5.02960424e+00,8.743465e-01,2.359652e-01,6.723732e-01,4.883613e-01,,
9,2.51500000e+01,-5.04006761e+00,8.743465e-01,2.319480e-01,6.490171e-01,4.973226e-01,,
10,2.51500000e+01,-5.05352856e+00,8.743465e-01,2.260397e-01,6.260144e-01,5.024631e-01,,
11,2.51500000e+01,-5.06954102e+00,8.743465e-01,2.191442e-01,6.045227e-01,5.044534e-01,,
12,2.51500000e+01,-5.08738160e+00,8.743465e-01,2.136085e-01,5.869683e-01,5.064161e-01,,
13,2.51500000e+01,-5.10446154e+00,8.743465e-01,2.087577e-01,5.730709e-01,5.069182e-01,,
14,2.51500000e+01,-5.11751815e+00,8.743465e-01,2.047521e-01,5.617624e-01,5.072002e-01,,
15,2.51500000e+01,-5.12444004e+00,8.743465e-01,2.013800e-01,5.528512e-01,5.068878e-01,,
16,2.51500000e+01,-5.12529471e+00,8.743465e-01,1.990980e-01,5.457886e-01,5.076285e-01,,
17,2.51500000e+01,-5.12228660e+00,8.743465e-01,1.979269e-01,5.407061e-01,5.093863e-01,,
18,2.51500000e+01,-5.11807435e+00,8.743465e-01,1.978411e-01,5.372713e-01,5.124206e-01,,
19,2.51500000e+01,-5.11446825e+00,8.743465e-01,1.985765e-01,5.350676e-01,5.164435e-01,,
20,2.51500000e+01,-5.11193814e+00,8.743465e-01,2.000827e-01,5.340390e-01,5.213631e-01,,
21,2.51500000e+01,-5.11032183e+00,8.743465e-01,2.020187e-01,5.339428e-01,5.265025e-01,,
22,2.51500000e+01,-5.10934178e+00,8.743465e-01,2.040897e-01,5.343763e-01,5.314686e-01,,
23,2.51500000e+01,-5.10873344e+00,8.743465e-01,2.061491e-01,5.352111e-01,5.359941e-01,,
24,2.51500000e+01,-5.10827052e+00,8.743465e-01,2.080706e-01,5.362793e-01,5.399123e-01,,
25,2.51500000e+01,-5.10778946e+00,8.743465e-01,2.097385e-01,5.374235e-01,5.430818e-01,,
26,2.51500000e+01,-5.10715707e+00,8.743465e-01,2.111306e-01,5.385501e-01,5.455426e-01,,
27,2.51500000e+01,-5.10640462e+00,8.743465e-01,2.122121e-01,5.395164e-01,5.473550e-01,,
28,2.51500000e+01,-5.10564207e+00,8.743465e-01,2.130484e-01,5.403196e-01,5.486953e-01,,
29,2.51500000e+01,-5.10498772e+00,8.743465e-01,2.136204e-01,5.408681e-01,5.496105e-01,,
30,2.51500000e+01,-5.10453375e+00,8.743465e-01,2.139647e-01,5.411775e-01,5.501816e-01,,
31,2.51500000e+01,-5.10428991e+00,8.743465e-01,2.141223e-01,5.412808e-01,5.504818e-01,,
32,2.51500000e+01,-5.10424362e+00,8.743465e-01,2.141556e-01,5.412439e-01,5.506050e-01,,
33,2.51500000e+01,-5.10441316e+00,8.743465e-01,2.140981e-01,5.411190e-01,5.505842e-01,,
34,2.51500000e+01,-5.10478605e+00,8.743465e-01,2.139840e-01,5.409598e-01,5.504527e-01,,
