time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
1e-05,2.515000e+01,-4.848161e+00,8.743465e-01,2.099121e+02,-4.118149e+02,-7.093151e-01,0.000251,0.0905
2e-05,2.515000e+01,-4.855590e+00,8.743465e-01,-7.316511e+00,-1.606927e+01,6.335948e-01,0.000503,0.1811
3e-05,2.515000e+01,-4.864216e+00,8.743465e-01,-4.322298e+00,-8.975107e+00,6.701604e-01,0.000754,0.2716
4e-05,2.515000e+01,-4.869915e+00,8.743465e-01,-5.788485e-01,-1.732080e+00,4.650509e-01,0.001006,0.3621
5e-05,2.515000e+01,-4.873943e+00,8.743465e-01,-1.786262e-01,-7.239148e-01,3.433692e-01,0.001257,0.4526
6e-05,2.515000e+01,-4.876993e+00,8.743465e-01,-1.012182e-01,-4.404988e-01,3.197550e-01,0.001509,0.5432
7e-05,2.515000e+01,-4.879486e+00,8.743465e-01,-5.893957e-02,-2.830949e-01,2.897202e-01,0.001760,0.6337
8e-05,2.515000e+01,-4.881602e+00,8.743465e-01,-2.434494e-02,-1.692051e-01,2.002160e-01,0.002012,0.7242
9e-05,2.515000e+01,-4.883453e+00,8.743465e-01,3.946297e-03,-8.360690e-02,-6.568276e-02,0.002263,0.8147
0.0001,2.515000e+01,-4.885113e+00,8.743465e-01,2.650148e-02,-1.790942e-02,-2.059170e+00,0.002515,0.9053
0.00011,2.515000e+01,-4.886621e+00,8.743465e-01,4.546552e-02,3.459791e-02,1.828673e+00,0.002766,0.9958
0.00012,2.515000e+01,-4.888011e+00,8.743465e-01,6.189049e-02,7.846174e-02,1.097664e+00,0.003018,1.0863
0.00013,2.515000e+01,-4.889305e+00,8.743465e-01,7.610979e-02,1.151737e-01,9.195831e-01,0.003269,1.1769
0.00014,2.515000e+01,-4.890520e+00,8.743465e-01,8.860327e-02,1.464782e-01,8.417452e-01,0.003521,1.2674
0.00015,2.515000e+01,-4.891670e+00,8.743465e-01,9.904401e-02,1.725769e-01,7.986366e-01,0.003772,1.3579
0.00016,2.515000e+01,-4.892765e+00,8.743465e-01,1.085131e-01,1.955526e-01,7.721865e-01,0.004023,1.4484
0.00017,2.515000e+01,-4.893812e+00,8.743465e-01,1.169006e-01,2.154936e-01,7.548943e-01,0.004275,1.5390
0.00018,2.515000e+01,-4.894817e+00,8.743465e-01,1.246309e-01,2.334398e-01,7.429411e-01,0.004526,1.6295
0.00019,2.515000e+01,-4.895783e+00,8.743465e-01,1.315644e-01,2.494340e-01,7.339836e-01,0.004778,1.7200
0.0002,2.515000e+01,-4.896714e+00,8.743465e-01,1.379287e-01,2.639227e-01,7.272467e-01,0.005029,1.8105
0.00021,2.515000e+01,-4.897614e+00,8.743465e-01,1.437876e-01,2.770391e-01,7.222442e-01,0.005281,1.9011
0.00022,2.515000e+01,-4.898486e+00,8.743465e-01,1.491680e-01,2.890926e-01,7.180297e-01,0.005532,1.9916
0.00023,2.515000e+01,-4.899332e+00,8.743465e-01,1.541226e-01,3.001067e-01,7.146515e-01,0.005784,2.0821
0.00024,2.515000e+01,-4.900154e+00,8.743465e-01,1.586865e-01,3.102442e-01,7.117707e-01,0.006035,2.1727
0.00025,2.515000e+01,-4.900953e+00,8.743465e-01,1.628819e-01,3.194826e-01,7.094620e-01,0.006287,2.2632
0.00026,2.515000e+01,-4.901733e+00,8.743465e-01,1.668632e-01,3.282336e-01,7.074262e-01,0.006538,2.3537
0.00027,2.515000e+01,-4.902494e+00,8.743465e-01,1.706512e-01,3.364837e-01,7.057470e-01,0.006790,2.4442
0.00028,2.515000e+01,-4.903239e+00,8.743465e-01,1.743649e-01,3.444814e-01,7.043639e-01,0.007041,2.5348
0.00029,2.515000e+01,-4.903968e+00,8.743465e-01,1.778060e-01,3.518734e-01,7.031752e-01,0.007292,2.6253
0.0003,2.515000e+01,-4.904682e+00,8.743465e-01,1.810880e-01,3.588508e-01,7.022302e-01,0.007544,2.7158
0.00031,2.515000e+01,-4.905380e+00,8.743465e-01,1.842420e-01,3.655760e-01,7.013177e-01,0.007795,2.8063
0.00032,2.515000e+01,-4.906063e+00,8.743465e-01,1.871898e-01,3.717277e-01,7.007466e-01,0.008047,2.8969
0.00033,2.515000e+01,-4.906733e+00,8.743465e-01,1.900721e-01,3.777178e-01,7.002525e-01,0.008298,2.9874
0.00034,2.515000e+01,-4.907390e+00,8.743465e-01,1.926101e-01,3.830551e-01,6.997154e-01,0.008550,3.0779
0.00035,2.515000e+01,-4.908033e+00,8.743465e-01,1.952645e-01,3.886156e-01,6.992085e-01,0.008801,3.1685
0.00036,2.515000e+01,-4.908664e+00,8.743465e-01,1.978342e-01,3.940378e-01,6.986621e-01,0.009053,3.2590
0.00037,2.515000e+01,-4.909283e+00,8.743465e-01,2.002372e-01,3.991267e-01,6.981322e-01,0.009304,3.3495
0.00038,2.515000e+01,-4.909892e+00,8.743465e-01,2.025232e-01,4.039393e-01,6.976898e-01,0.009556,3.4400
0.00039,2.515000e+01,-4.910490e+00,8.743465e-01,2.047272e-01,4.085006e-01,6.974072e-01,0.009807,3.5306
0.0004,2.515000e+01,-4.911079e+00,8.743465e-01,2.068431e-01,4.127933e-01,6.972879e-01,0.010059,3.6211
0.00041,2.515000e+01,-4.911657e+00,8.743465e-01,2.089174e-01,4.170527e-01,6.970876e-01,0.010310,3.7116
0.00042,2.515000e+01,-4.912226e+00,8.743465e-01,2.110637e-01,4.215415e-01,6.967499e-01,0.010562,3.8021
0.00043,2.515000e+01,-4.912788e+00,8.743465e-01,2.129897e-01,4.255215e-01,6.965315e-01,0.010813,3.8927
0.00044,2.515000e+01,-4.913341e+00,8.743465e-01,2.150310e-01,4.295947e-01,6.965398e-01,0.011064,3.9832
0.00045,2.515000e+01,-4.913887e+00,8.743465e-01,2.169763e-01,4.333912e-01,6.966843e-01,0.011316,4.0737
0.00046,2.515000e+01,-4.914425e+00,8.743465e-01,2.188709e-01,4.370390e-01,6.969015e-01,0.011567,4.1643
0.00047,2.515000e+01,-4.914955e+00,8.743465e-01,2.208603e-01,4.408927e-01,6.970892e-01,0.011819,4.2548
0.00048,2.515000e+01,-4.915477e+00,8.743465e-01,2.226571e-01,4.444855e-01,6.970800e-01,0.012070,4.3453
0.00049,2.515000e+01,-4.915991e+00,8.743465e-01,2.243929e-01,4.479805e-01,6.970336e-01,0.012322,4.4358
0.0005,2.515000e+01,-4.916498e+00,8.743465e-01,2.260892e-01,4.513827e-01,6.970093e-01,0.012573,4.5264
0.00051,2.515000e+01,-4.916998e+00,8.743465e-01,2.278507e-01,4.548523e-01,6.970816e-01,0.012825,4.6169
0.00052,2.515000e+01,-4.917492e+00,8.743465e-01,2.295983e-01,4.583220e-01,6.971105e-01,0.013076,4.7074
0.00053,2.515000e+01,-4.917979e+00,8.743465e-01,2.312865e-01,4.616828e-01,6.971244e-01,0.013328,4.7979
0.00054,2.515000e+01,-4.918459e+00,8.743465e-01,2.329685e-01,4.649841e-01,6.972087e-01,0.013579,4.8885
0.00055,2.515000e+01,-4.918930e+00,8.743465e-01,2.345560e-01,4.680629e-01,6.973424e-01,0.013831,4.9790
0.00056,2.515000e+01,-4.919395e+00,8.743465e-01,2.361858e-01,4.712012e-01,6.975110e-01,0.014082,5.0695
0.00057,2.515000e+01,-4.919854e+00,8.743465e-01,2.377763e-01,4.742434e-01,6.977033e-01,0.014333,5.1601
0.00058,2.515000e+01,-4.920305e+00,8.743465e-01,2.394668e-01,4.775889e-01,6.977419e-01,0.014585,5.2506
0.00059,2.515000e+01,-4.920751e+00,8.743465e-01,2.410951e-01,4.808511e-01,6.977207e-01,0.014836,5.3411
0.0006,2.515000e+01,-4.921190e+00,8.743465e-01,2.427203e-01,4.840335e-01,6.978056e-01,0.015088,5.4316
0.00061,2.515000e+01,-4.921624e+00,8.743465e-01,2.441461e-01,4.868369e-01,6.978629e-01,0.015339,5.5222
0.00062,2.515000e+01,-4.922052e+00,8.743465e-01,2.456027e-01,4.897205e-01,6.978925e-01,0.015591,5.6127
0.00063,2.515000e+01,-4.922474e+00,8.743465e-01,2.470955e-01,4.927531e-01,6.978132e-01,0.015842,5.7032
0.00064,2.515000e+01,-4.922890e+00,8.743465e-01,2.487022e-01,4.959599e-01,6.978094e-01,0.016094,5.7937
0.00065,2.515000e+01,-4.923302e+00,8.743465e-01,2.502329e-01,4.989686e-01,6.978705e-01,0.016345,5.8843
0.00066,2.515000e+01,-4.923709e+00,8.743465e-01,2.517305e-01,5.019049e-01,6.979400e-01,0.016597,5.9748
0.00067,2.515000e+01,-4.924111e+00,8.743465e-01,2.532580e-01,5.049694e-01,6.979138e-01,0.016848,6.0653
0.00068,2.515000e+01,-4.924507e+00,8.743465e-01,2.546833e-01,5.077614e-01,6.979824e-01,0.017100,6.1559
0.00069,2.515000e+01,-4.924900e+00,8.743465e-01,2.561908e-01,5.107352e-01,6.980257e-01,0.017351,6.2464
0.0007,2.515000e+01,-4.925288e+00,8.743465e-01,2.576218e-01,5.135062e-01,6.981370e-01,0.017603,6.3369
0.00071,2.515000e+01,-4.925670e+00,8.743465e-01,2.590885e-01,5.163677e-01,6.982208e-01,0.017854,6.4274
0.00072,2.515000e+01,-4.926047e+00,8.743465e-01,2.605848e-01,5.194201e-01,6.981263e-01,0.018105,6.5180
0.00073,2.515000e+01,-4.926419e+00,8.743465e-01,2.619998e-01,5.222719e-01,6.980845e-01,0.018357,6.6085
0.00074,2.515000e+01,-4.926787e+00,8.743465e-01,2.634998e-01,5.252342e-01,6.981216e-01,0.018608,6.6990
0.00075,2.515000e+01,-4.927150e+00,8.743465e-01,2.648956e-01,5.280144e-01,6.981241e-01,0.018860,6.7895
0.00076,2.515000e+01,-4.927508e+00,8.743465e-01,2.663225e-01,5.309268e-01,6.980346e-01,0.019111,6.8801
0.00077,2.515000e+01,-4.927863e+00,8.743465e-01,2.676809e-01,5.337304e-01,6.979095e-01,0.019363,6.9706
0.00078,2.515000e+01,-4.928214e+00,8.743465e-01,2.690533e-01,5.365522e-01,6.977985e-01,0.019614,7.0611
0.00079,2.515000e+01,-4.928561e+00,8.743465e-01,2.705068e-01,5.394603e-01,6.977863e-01,0.019866,7.1517
0.0008,2.515000e+01,-4.928904e+00,8.743465e-01,2.719850e-01,5.424531e-01,6.977286e-01,0.020117,7.2422
