time,n,URef,J,KT,10KQ,eta0
1.20482e-05,2.515000e+01,-4.881229e+00,9.704233e-01,6.926577e+02,1.910359e+02,5.599962e+00
2.65769e-05,2.515000e+01,-4.887893e+00,9.717481e-01,9.467937e+00,1.594242e+01,9.184913e-01
4.39595e-05,2.515000e+01,-4.897410e+00,9.736401e-01,1.890162e+00,2.653842e+00,1.103678e+00
6.47429e-05,2.515000e+01,-4.903759e+00,9.749024e-01,1.070542e+00,1.804952e+00,9.202793e-01
8.87239e-05,2.515000e+01,-4.908511e+00,9.758472e-01,7.998588e-01,1.527594e+00,8.132184e-01
0.000116338,2.515000e+01,-4.912495e+00,9.766391e-01,6.575834e-01,1.353259e+00,7.553079e-01
0.000146809,2.515000e+01,-4.915958e+00,9.773277e-01,5.709038e-01,1.230690e+00,7.215635e-01
0.000178409,2.515000e+01,-4.918978e+00,9.779281e-01,5.149035e-01,1.146602e+00,6.989406e-01
0.000210009,2.515000e+01,-4.921663e+00,9.784619e-01,4.803933e-01,1.089666e+00,6.865426e-01
0.000241608,2.515000e+01,-4.924110e+00,9.789483e-01,4.597956e-01,1.055659e+00,6.786110e-01
0.000273208,2.515000e+01,-4.926449e+00,9.794133e-01,4.519680e-01,1.038616e+00,6.783269e-01
0.000303491,2.515000e+01,-4.928580e+00,9.798370e-01,4.499643e-01,1.040333e+00,6.744963e-01
0.000333774,2.515000e+01,-4.930566e+00,9.802319e-01,4.490338e-01,1.045038e+00,6.703414e-01
0.000364057,2.515000e+01,-4.932414e+00,9.805992e-01,4.504986e-01,1.055268e+00,6.662578e-01
0.00039434,2.515000e+01,-4.934142e+00,9.809427e-01,4.516580e-01,1.063838e+00,6.628237e-01
0.000424623,2.515000e+01,-4.935796e+00,9.812716e-01,4.554337e-01,1.074231e+00,6.621204e-01
0.000454906,2.515000e+01,-4.937356e+00,9.815817e-01,4.590478e-01,1.087564e+00,6.594013e-01
0.000485189,2.515000e+01,-4.938833e+00,9.818754e-01,4.633571e-01,1.101274e+00,6.575019e-01
0.000515472,2.515000e+01,-4.940318e+00,9.821706e-01,4.699803e-01,1.111221e+00,6.611290e-01
0.000545755,2.515000e+01,-4.941773e+00,9.824599e-01,4.746290e-01,1.120442e+00,6.623686e-01
0.000576038,2.515000e+01,-4.943170e+00,9.827376e-01,4.771382e-01,1.128497e+00,6.613045e-01
0.000606321,2.515000e+01,-4.944458e+00,9.829937e-01,4.775314e-01,1.138247e+00,6.563515e-01
0.000636604,2.515000e+01,-4.945713e+00,9.832431e-01,4.800897e-01,1.145091e+00,6.560898e-01
0.000666887,2.515000e+01,-4.946934e+00,9.834859e-01,4.829340e-01,1.151969e+00,6.561984e-01
0.00069717,2.515000e+01,-4.948115e+00,9.837206e-01,4.846007e-01,1.157273e+00,6.556015e-01
0.000727453,2.515000e+01,-4.949241e+00,9.839446e-01,4.864060e-01,1.164226e+00,6.542633e-01
0.000757736,2.515000e+01,-4.950350e+00,9.841650e-01,4.883942e-01,1.168256e+00,6.548176e-01
0.000788019,2.515000e+01,-4.951444e+00,9.843824e-01,4.903088e-01,1.172308e+00,6.552575e-01
0.000818302,2.515000e+01,-4.952477e+00,9.845879e-01,4.905351e-01,1.177279e+00,6.529282e-01
0.000848585,2.515000e+01,-4.953464e+00,9.847842e-01,4.910300e-01,1.181438e+00,6.514159e-01
0.000878868,2.515000e+01,-4.954445e+00,9.849791e-01,4.927739e-01,1.183939e+00,6.524776e-01
0.000909151,2.515000e+01,-4.955412e+00,9.851714e-01,4.940479e-01,1.186563e+00,6.528453e-01
0.000939434,2.515000e+01,-4.956364e+00,9.853606e-01,4.951115e-01,1.189219e+00,6.529151e-01
0.000969717,2.515000e+01,-4.957275e+00,9.855417e-01,4.951500e-01,1.192272e+00,6.514133e-01
0.001,2.515000e+01,-4.958138e+00,9.857134e-01,4.946261e-01,1.194825e+00,6.494469e-01
0.0010303,2.515000e+01,-4.958978e+00,9.858803e-01,4.947215e-01,1.196318e+00,6.488709e-01
0.00106061,2.515000e+01,-4.959787e+00,9.860412e-01,4.948061e-01,1.198189e+00,6.480747e-01
0.00109091,2.515000e+01,-4.960598e+00,9.862025e-01,4.962778e-01,1.199728e+00,6.492743e-01
0.00112121,2.515000e+01,-4.961425e+00,9.863668e-01,4.983181e-01,1.201236e+00,6.512337e-01
0.00115152,2.515000e+01,-4.962207e+00,9.865223e-01,4.978940e-01,1.204136e+00,6.492146e-01
0.00118182,2.515000e+01,-4.962950e+00,9.866700e-01,4.973415e-01,1.206303e+00,6.474266e-01
0.00121212,2.515000e+01,-4.963664e+00,9.868120e-01,4.965682e-01,1.206554e+00,6.463781e-01
0.00124242,2.515000e+01,-4.964381e+00,9.869545e-01,4.969018e-01,1.206035e+00,6.471841e-01
0.00127273,2.515000e+01,-4.965091e+00,9.870956e-01,4.973882e-01,1.206844e+00,6.474763e-01
0.00130303,2.515000e+01,-4.965785e+00,9.872335e-01,4.977564e-01,1.208377e+00,6.472236e-01
0.00133333,2.515000e+01,-4.966445e+00,9.873649e-01,4.977743e-01,1.210575e+00,6.461580e-01
0.00136364,2.515000e+01,-4.967091e+00,9.874933e-01,4.974720e-01,1.210586e+00,6.458434e-01
0.00139394,2.515000e+01,-4.967728e+00,9.876200e-01,4.971545e-01,1.210055e+00,6.457971e-01
0.00142424,2.515000e+01,-4.968347e+00,9.877429e-01,4.970624e-01,1.211131e+00,6.451841e-01
0.00145455,2.515000e+01,-4.968953e+00,9.878635e-01,4.972752e-01,1.212120e+00,6.450125e-01
0.00148485,2.515000e+01,-4.969550e+00,9.879820e-01,4.974986e-01,1.212868e+00,6.449822e-01
0.00151515,2.515000e+01,-4.970113e+00,9.880940e-01,4.966759e-01,1.214046e+00,6.433631e-01
0.00154545,2.515000e+01,-4.970670e+00,9.882049e-01,4.964666e-01,1.213607e+00,6.433972e-01
0.00157576,2.515000e+01,-4.971233e+00,9.883167e-01,4.961758e-01,1.212042e+00,6.439234e-01
0.00160606,2.515000e+01,-4.971805e+00,9.884304e-01,4.961391e-01,1.210447e+00,6.447984e-01
0.00163636,2.515000e+01,-4.972357e+00,9.885402e-01,4.959032e-01,1.211430e+00,6.440401e-01
0.00166667,2.515000e+01,-4.972864e+00,9.886410e-01,4.948726e-01,1.213361e+00,6.417446e-01
0.00169697,2.515000e+01,-4.973354e+00,9.887384e-01,4.949833e-01,1.214735e+00,6.412249e-01
0.00172727,2.515000e+01,-4.973846e+00,9.888361e-01,4.950855e-01,1.214398e+00,6.415989e-01
0.00175758,2.515000e+01,-4.974331e+00,9.889326e-01,4.948305e-01,1.214091e+00,6.414932e-01
0.00178788,2.515000e+01,-4.974823e+00,9.890305e-01,4.954137e-01,1.214317e+00,6.421932e-01
0.00181818,2.515000e+01,-4.975323e+00,9.891299e-01,4.956707e-01,1.213635e+00,6.429519e-01
