time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
1,2.51500000e+01,-4.99275516e+00,8.743465e-01,4.936651e-01,1.205319e+00,5.699464e-01,,
2,2.51500000e+01,-5.00630788e+00,8.743465e-01,3.735604e-01,8.897405e-01,5.842533e-01,,
3,2.51500000e+01,-5.01151343e+00,8.743465e-01,3.128350e-01,7.319777e-01,5.947318e-01,,
4,2.51500000e+01,-5.01690765e+00,8.743465e-01,2.860223e-01,6.655228e-01,5.980543e-01,,
5,2.51500000e+01,-5.02510407e+00,8.743465e-01,2.695831e-01,6.307465e-01,5.947597e-01,,
6,2.51500000e+01,-5.03630977e+00,8.743465e-01,2.579331e-01,6.098170e-01,5.885878e-01,,
7,2.51500000e+01,-5.05177867e+00,8.743465e-01,2.482409e-01,5.943304e-01,5.812315e-01,,
8,2.51500000e+01,-5.07094338e+00,8.743465e-01,2.391527e-01,5.804565e-01,5.733361e-01,,
9,2.51500000e+01,-5.09308297e+00,8.743465e-01,2.304451e-01,5.665774e-01,5.659942e-01,,
10,2.51500000e+01,-5.11406050e+00,8.743465e-01,2.240793e-01,5.563255e-01,5.605012e-01,,
11,2.51500000e+01,-5.12983462e+00,8.743465e-01,2.194172e-01,5.482997e-01,5.568734e-01,,
12,2.51500000e+01,-5.13777685e+00,8.743465e-01,2.164269e-01,5.425009e-01,5.551553e-01,,
13,2.51500000e+01,-5.13860337e+00,8.743465e-01,2.147864e-01,5.383298e-01,5.552160e-01,,
14,2.51500000e+01,-5.13537607e+00,8.743465e-01,2.140857e-01,5.353463e-01,5.564889e-01,,
15,2.51500000e+01,-5.13082280e+00,8.743465e-01,2.140960e-01,5.332811e-01,5.586709e-01,,
16,2.51500000e+01,-5.12652080e+00,8.743465e-01,2.147206e-01,5.319855e-01,5.616653e-01,,
17,2.51500000e+01,-5.12295106e+00,8.743465e-01,2.156975e-01,5.312418e-01,5.650105e-01,,
18,2.51500000e+01,-5.12032542e+00,8.743465e-01,2.168273e-01,5.308424e-01,5.683974e-01,,
19,2.51500000e+01,-5.11807296e+00,8.743465e-01,2.179242e-01,5.305693e-01,5.715668e-01,,
