time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
1.20482e-05,2.515000e+01,-4.881140e+00,8.743465e-01,4.160122e+02,1.030832e+02,5.615933e+00,0.000303,0.1091
2.65769e-05,2.515000e+01,-4.888335e+00,8.743465e-01,6.083030e+00,9.058323e+00,9.344924e-01,0.000668,0.2406
4.39595e-05,2.515000e+01,-4.897610e+00,8.743465e-01,1.226915e+00,1.617415e+00,1.055594e+00,0.001105,0.3980
6.47429e-05,2.515000e+01,-4.903825e+00,8.743465e-01,6.864304e-01,1.051354e+00,9.085547e-01,0.001628,0.5861
8.87239e-05,2.515000e+01,-4.908459e+00,8.743465e-01,5.041882e-01,8.591318e-01,8.166510e-01,0.002231,0.8032
0.000116338,2.515000e+01,-4.912323e+00,8.743465e-01,4.084438e-01,7.428102e-01,7.651702e-01,0.002925,1.0532
0.000146809,2.515000e+01,-4.915659e+00,8.743465e-01,3.500466e-01,6.637313e-01,7.339006e-01,0.003692,1.3290
0.000179624,2.515000e+01,-4.918603e+00,8.743465e-01,3.122676e-01,6.108027e-01,7.114258e-01,0.004517,1.6261
0.000211177,2.515000e+01,-4.921179e+00,8.743465e-01,2.901703e-01,5.749199e-01,7.023430e-01,0.005310,1.9117
0.00024273,2.515000e+01,-4.923520e+00,8.743465e-01,2.766307e-01,5.531776e-01,6.958885e-01,0.006104,2.1974
0.000274283,2.515000e+01,-4.925760e+00,8.743465e-01,2.710789e-01,5.412490e-01,6.969509e-01,0.006897,2.4830
0.000305836,2.515000e+01,-4.927848e+00,8.743465e-01,2.694873e-01,5.411221e-01,6.930217e-01,0.007691,2.7687
0.000336017,2.515000e+01,-4.929750e+00,8.743465e-01,2.688460e-01,5.422462e-01,6.899392e-01,0.008450,3.0419
0.000366198,2.515000e+01,-4.931518e+00,8.743465e-01,2.696208e-01,5.467894e-01,6.861780e-01,0.009209,3.3151
0.000396379,2.515000e+01,-4.933162e+00,8.743465e-01,2.699029e-01,5.504713e-01,6.823017e-01,0.009968,3.5883
0.00042656,2.515000e+01,-4.934735e+00,8.743465e-01,2.721211e-01,5.555337e-01,6.816409e-01,0.010726,3.8615
0.000456741,2.515000e+01,-4.936220e+00,8.743465e-01,2.744620e-01,5.625363e-01,6.789459e-01,0.011485,4.1348
0.000486922,2.515000e+01,-4.937639e+00,8.743465e-01,2.771807e-01,5.691014e-01,6.777615e-01,0.012244,4.4080
0.000517103,2.515000e+01,-4.939076e+00,8.743465e-01,2.814022e-01,5.742354e-01,6.819325e-01,0.013003,4.6812
0.000547284,2.515000e+01,-4.940476e+00,8.743465e-01,2.838636e-01,5.788682e-01,6.823916e-01,0.013762,4.9544
0.000577465,2.515000e+01,-4.941816e+00,8.743465e-01,2.854007e-01,5.831824e-01,6.810114e-01,0.014521,5.2276
0.000607646,2.515000e+01,-4.943049e+00,8.743465e-01,2.857276e-01,5.883322e-01,6.758230e-01,0.015280,5.5009
0.000637828,2.515000e+01,-4.944252e+00,8.743465e-01,2.872680e-01,5.917093e-01,6.755887e-01,0.016039,5.7741
0.000668009,2.515000e+01,-4.945431e+00,8.743465e-01,2.891663e-01,5.953022e-01,6.759491e-01,0.016798,6.0473
0.00069819,2.515000e+01,-4.946568e+00,8.743465e-01,2.901625e-01,5.981164e-01,6.750866e-01,0.017557,6.3205
0.000728371,2.515000e+01,-4.947654e+00,8.743465e-01,2.912506e-01,6.016693e-01,6.736161e-01,0.018316,6.5937
0.000758552,2.515000e+01,-4.948724e+00,8.743465e-01,2.924896e-01,6.038485e-01,6.740407e-01,0.019075,6.8670
0.000788733,2.515000e+01,-4.949779e+00,8.743465e-01,2.938010e-01,6.063010e-01,6.743241e-01,0.019834,7.1402
0.000818914,2.515000e+01,-4.950780e+00,8.743465e-01,2.942367e-01,6.092811e-01,6.720214e-01,0.020593,7.4134
0.000849095,2.515000e+01,-4.951737e+00,8.743465e-01,2.945326e-01,6.113877e-01,6.703792e-01,0.021352,7.6866
0.000879276,2.515000e+01,-4.952690e+00,8.743465e-01,2.955969e-01,6.126128e-01,6.714558e-01,0.022111,7.9599
0.000909457,2.515000e+01,-4.953631e+00,8.743465e-01,2.964174e-01,6.141139e-01,6.716739e-01,0.022870,8.2331
