time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
1,2.51500000e+01,-4.95493255e+00,8.743465e-01,9.465645e-02,2.535853e-01,5.194335e-01,,
2,2.51500000e+01,-4.95367461e+00,8.743465e-01,1.929444e-01,4.365850e-01,6.149887e-01,,
3,2.51500000e+01,-4.95876243e+00,8.743465e-01,2.282920e-01,4.914618e-01,6.464050e-01,,
4,2.51500000e+01,-4.96547370e+00,8.743465e-01,2.343905e-01,5.008244e-01,6.512658e-01,,
5,2.51500000e+01,-4.97778525e+00,8.743465e-01,2.291958e-01,4.967862e-01,6.420086e-01,,
6,2.51500000e+01,-4.99566473e+00,8.743465e-01,2.202934e-01,4.894764e-01,6.262870e-01,,
7,2.51500000e+01,-5.01791515e+00,8.743465e-01,2.107578e-01,4.818956e-01,6.086034e-01,,
8,2.51500000e+01,-5.04145179e+00,8.743465e-01,2.019834e-01,4.747279e-01,5.920721e-01,,
9,2.51500000e+01,-5.06197904e+00,8.743465e-01,1.953230e-01,4.696643e-01,5.787213e-01,,
10,2.51500000e+01,-5.07491421e+00,8.743465e-01,1.915213e-01,4.678389e-01,5.696715e-01,,
11,2.51500000e+01,-5.08028757e+00,8.743465e-01,1.904955e-01,4.691832e-01,5.649967e-01,,
12,2.51500000e+01,-5.08187649e+00,8.743465e-01,1.909050e-01,4.720474e-01,5.627758e-01,,
13,2.51500000e+01,-5.08218396e+00,8.743465e-01,1.937155e-01,4.776609e-01,5.643497e-01,,
14,2.51500000e+01,-5.08369737e+00,8.743465e-01,1.980470e-01,4.848107e-01,5.684599e-01,,
15,2.51500000e+01,-5.08632996e+00,8.743465e-01,2.032407e-01,4.925984e-01,5.741447e-01,,
16,2.51500000e+01,-5.08753343e+00,8.743465e-01,2.086398e-01,5.001507e-01,5.804970e-01,,
17,2.51500000e+01,-5.08723435e+00,8.743465e-01,2.137456e-01,5.069436e-01,5.867338e-01,,
18,2.51500000e+01,-5.08722759e+00,8.743465e-01,2.182712e-01,5.127413e-01,5.923820e-01,,
19,2.51500000e+01,-5.08817518e+00,8.743465e-01,2.220388e-01,5.174676e-01,5.971034e-01,,
20,2.51500000e+01,-5.08874634e+00,8.743465e-01,2.249384e-01,5.210908e-01,6.006948e-01,,
21,2.51500000e+01,-5.08905716e+00,8.743465e-01,2.269780e-01,5.236917e-01,6.031312e-01,,
22,2.51500000e+01,-5.09017273e+00,8.743465e-01,2.282013e-01,5.253726e-01,6.044417e-01,,
23,2.51500000e+01,-5.09110074e+00,8.743465e-01,2.287093e-01,5.262890e-01,6.047324e-01,,
24,2.51500000e+01,-5.09084335e+00,8.743465e-01,2.286990e-01,5.266734e-01,6.042637e-01,,
25,2.51500000e+01,-5.08978543e+00,8.743465e-01,2.282070e-01,5.265624e-01,6.030909e-01,,
26,2.51500000e+01,-5.08941709e+00,8.743465e-01,2.271133e-01,5.257602e-01,6.011165e-01,,
27,2.51500000e+01,-5.08961082e+00,8.743465e-01,2.259211e-01,5.248494e-01,5.989986e-01,,
28,2.51500000e+01,-5.09025177e+00,8.743465e-01,2.248780e-01,5.240863e-01,5.971010e-01,,
29,2.51500000e+01,-5.09102911e+00,8.743465e-01,2.238364e-01,5.232436e-01,5.952926e-01,,
30,2.51500000e+01,-5.09195697e+00,8.743465e-01,2.228394e-01,5.223542e-01,5.936503e-01,,
31,2.51500000e+01,-5.09313981e+00,8.743465e-01,2.220026e-01,5.215393e-01,5.923448e-01,,
32,2.51500000e+01,-5.09434786e+00,8.743465e-01,2.213496e-01,5.208355e-01,5.914009e-01,,
33,2.51500000e+01,-5.09557407e+00,8.743465e-01,2.208812e-01,5.202681e-01,5.907927e-01,,
34,2.51500000e+01,-5.09664619e+00,8.743465e-01,2.205458e-01,5.198065e-01,5.904197e-01,,
35,2.51500000e+01,-5.09739255e+00,8.743465e-01,2.203537e-01,5.194821e-01,5.902737e-01,,
36,2.51500000e+01,-5.09789901e+00,8.743465e-01,2.203117e-01,5.193174e-01,5.903485e-01,,
37,2.51500000e+01,-5.09823631e+00,8.743465e-01,2.203947e-01,5.192915e-01,5.906004e-01,,
38,2.51500000e+01,-5.09847514e+00,8.743465e-01,2.205283e-01,5.193399e-01,5.909030e-01,,
39,2.51500000e+01,-5.09865763e+00,8.743465e-01,2.206726e-01,5.194249e-01,5.911931e-01,,
40,2.51500000e+01,-5.09879131e+00,8.743465e-01,2.208200e-01,5.195281e-01,5.914704e-01,,
