time,n,URef,J,KT,10KQ,eta0
1.20482e-05,2.515000e+01,-4.881140e+00,8.535615e-01,4.160122e+02,1.030832e+02,5.482431e+00
2.65769e-05,2.515000e+01,-4.888335e+00,8.548197e-01,6.083030e+00,9.058323e+00,9.136224e-01
4.39595e-05,2.515000e+01,-4.897610e+00,8.564416e-01,1.226915e+00,1.617415e+00,1.033978e+00
6.47429e-05,2.515000e+01,-4.903825e+00,8.575285e-01,6.864304e-01,1.051354e+00,8.910787e-01
8.87239e-05,2.515000e+01,-4.908459e+00,8.583388e-01,5.041882e-01,8.591318e-01,8.016996e-01
0.000116338,2.515000e+01,-4.912323e+00,8.590144e-01,4.084438e-01,7.428102e-01,7.517526e-01
0.000146809,2.515000e+01,-4.915659e+00,8.595979e-01,3.500466e-01,6.637313e-01,7.215211e-01
0.000179624,2.515000e+01,-4.918603e+00,8.601126e-01,3.122676e-01,6.108027e-01,6.998442e-01
0.000211177,2.515000e+01,-4.921179e+00,8.605630e-01,2.901703e-01,5.749199e-01,6.912710e-01
0.00024273,2.515000e+01,-4.923520e+00,8.609725e-01,2.766307e-01,5.531776e-01,6.852442e-01
0.000274283,2.515000e+01,-4.925760e+00,8.613642e-01,2.710789e-01,5.412490e-01,6.866026e-01
0.000305836,2.515000e+01,-4.927848e+00,8.617293e-01,2.694873e-01,5.411221e-01,6.830211e-01
0.000336017,2.515000e+01,-4.929750e+00,8.620619e-01,2.688460e-01,5.422462e-01,6.802455e-01
0.000366198,2.515000e+01,-4.931518e+00,8.623711e-01,2.696208e-01,5.467894e-01,6.767798e-01
0.000396379,2.515000e+01,-4.933162e+00,8.626587e-01,2.699029e-01,5.504713e-01,6.731811e-01
0.00042656,2.515000e+01,-4.934735e+00,8.629337e-01,2.721211e-01,5.555337e-01,6.727435e-01
0.000456741,2.515000e+01,-4.936220e+00,8.631934e-01,2.744620e-01,5.625363e-01,6.702853e-01
0.000486922,2.515000e+01,-4.937639e+00,8.634415e-01,2.771807e-01,5.691014e-01,6.693083e-01
0.000517103,2.515000e+01,-4.939076e+00,8.636927e-01,2.814022e-01,5.742354e-01,6.736232e-01
0.000547284,2.515000e+01,-4.940476e+00,8.639376e-01,2.838636e-01,5.788682e-01,6.742679e-01
0.000577465,2.515000e+01,-4.941816e+00,8.641718e-01,2.854007e-01,5.831824e-01,6.730865e-01
0.000607646,2.515000e+01,-4.943049e+00,8.643875e-01,2.857276e-01,5.883322e-01,6.681252e-01
0.000637828,2.515000e+01,-4.944252e+00,8.645979e-01,2.872680e-01,5.917093e-01,6.680562e-01
0.000668009,2.515000e+01,-4.945431e+00,8.648041e-01,2.891663e-01,5.953022e-01,6.685720e-01
0.00069819,2.515000e+01,-4.946568e+00,8.650029e-01,2.901625e-01,5.981164e-01,6.678724e-01
0.000728371,2.515000e+01,-4.947654e+00,8.651928e-01,2.912506e-01,6.016693e-01,6.665639e-01
0.000758552,2.515000e+01,-4.948724e+00,8.653799e-01,2.924896e-01,6.038485e-01,6.671283e-01
0.000788733,2.515000e+01,-4.949779e+00,8.655644e-01,2.938010e-01,6.063010e-01,6.675511e-01
0.000818914,2.515000e+01,-4.950780e+00,8.657394e-01,2.942367e-01,6.092811e-01,6.654060e-01
0.000849095,2.515000e+01,-4.951737e+00,8.659067e-01,2.945326e-01,6.113877e-01,6.639082e-01
0.000879276,2.515000e+01,-4.952690e+00,8.660734e-01,2.955969e-01,6.126128e-01,6.651025e-01
0.000909457,2.515000e+01,-4.953631e+00,8.662380e-01,2.964174e-01,6.141139e-01,6.654449e-01
0.000939638,2.515000e+01,-4.954558e+00,8.664001e-01,2.971552e-01,6.156398e-01,6.655723e-01
0.000969819,2.515000e+01,-4.955448e+00,8.665557e-01,2.974656e-01,6.176542e-01,6.642139e-01
0.001,2.515000e+01,-4.956298e+00,8.667043e-01,2.972169e-01,6.189584e-01,6.623739e-01
0.0010303,2.515000e+01,-4.957127e+00,8.668494e-01,2.974043e-01,6.199229e-01,6.618708e-01
0.00106061,2.515000e+01,-4.957926e+00,8.669891e-01,2.973761e-01,6.208917e-01,6.608818e-01
0.00109091,2.515000e+01,-4.958731e+00,8.671299e-01,2.983021e-01,6.216846e-01,6.622017e-01
0.00112121,2.515000e+01,-4.959552e+00,8.672734e-01,2.994904e-01,6.225292e-01,6.640478e-01
0.00115152,2.515000e+01,-4.960333e+00,8.674099e-01,2.993392e-01,6.240476e-01,6.622020e-01
0.00118182,2.515000e+01,-4.961075e+00,8.675397e-01,2.991188e-01,6.253139e-01,6.604731e-01
0.00121212,2.515000e+01,-4.961790e+00,8.676648e-01,2.986717e-01,6.255334e-01,6.593493e-01
0.00124242,2.515000e+01,-4.962507e+00,8.677901e-01,2.988221e-01,6.251980e-01,6.601308e-01
0.00127273,2.515000e+01,-4.963217e+00,8.679142e-01,2.991775e-01,6.257340e-01,6.604444e-01
0.00130303,2.515000e+01,-4.963912e+00,8.680359e-01,2.994687e-01,6.265875e-01,6.602793e-01
0.00133333,2.515000e+01,-4.964581e+00,8.681528e-01,2.995795e-01,6.276763e-01,6.594665e-01
0.00136364,2.515000e+01,-4.965229e+00,8.682661e-01,2.993220e-01,6.277495e-01,6.589089e-01
0.00139394,2.515000e+01,-4.965866e+00,8.683776e-01,2.991168e-01,6.274921e-01,6.588118e-01
0.00142424,2.515000e+01,-4.966486e+00,8.684860e-01,2.991501e-01,6.281644e-01,6.582621e-01
0.00145455,2.515000e+01,-4.967093e+00,8.685921e-01,2.992376e-01,6.286156e-01,6.580625e-01
0.00148485,2.515000e+01,-4.967694e+00,8.686971e-01,2.994600e-01,6.290558e-01,6.581699e-01
0.00151515,2.515000e+01,-4.968262e+00,8.687965e-01,2.990165e-01,6.297819e-01,6.565129e-01
0.00154545,2.515000e+01,-4.968825e+00,8.688951e-01,2.989622e-01,6.296097e-01,6.566473e-01
0.00157576,2.515000e+01,-4.969395e+00,8.689945e-01,2.988711e-01,6.288763e-01,6.572883e-01
0.00160606,2.515000e+01,-4.969972e+00,8.690956e-01,2.988326e-01,6.280581e-01,6.581363e-01
0.00163636,2.515000e+01,-4.970528e+00,8.691928e-01,2.986329e-01,6.286220e-01,6.571802e-01
0.00166667,2.515000e+01,-4.971046e+00,8.692833e-01,2.981367e-01,6.295913e-01,6.551460e-01
0.00169697,2.515000e+01,-4.971547e+00,8.693708e-01,2.982569e-01,6.303989e-01,6.546367e-01
0.00172727,2.515000e+01,-4.972050e+00,8.694589e-01,2.983408e-01,6.302720e-01,6.550191e-01
0.00175758,2.515000e+01,-4.972544e+00,8.695453e-01,2.981423e-01,6.302436e-01,6.546778e-01
0.00178788,2.515000e+01,-4.973048e+00,8.696335e-01,2.985225e-01,6.303731e-01,6.554440e-01
0.00181818,2.515000e+01,-4.973562e+00,8.697233e-01,2.987346e-01,6.300514e-01,6.563126e-01
0.00184848,2.515000e+01,-4.974060e+00,8.698103e-01,2.986103e-01,6.304853e-01,6.556538e-01
0.00187879,2.515000e+01,-4.974532e+00,8.698930e-01,2.982512e-01,6.310844e-01,6.543060e-01
0.00190909,2.515000e+01,-4.974992e+00,8.699733e-01,2.978835e-01,6.309992e-01,6.536473e-01
0.00193939,2.515000e+01,-4.975441e+00,8.700519e-01,2.976624e-01,6.309607e-01,6.532614e-01
